0 178 220 0 1.2
9 189 194 0 1.3
11 195 158 0 1.25
12 211 144 0 1.24
14 208 131 0 1.2
16 199 132 0 1.0
19 158 103 0 0.8
22 132 118 0 0.7
24 134 139 0 0.5
29 146 148 0 0.4
31 137 148 0 0.35
32 131 148 0 0.35
33 119 150 0 0.35
34 107 153 0 0.35
36 119 153 0 0.35
37 131 153 0 0.35
38 142 153 0 0.35
39 162 154 0 0.35
40 178 154 0 0.35
42 201 154 0 0.35
43 209 154 0 0.35
46 188 163 0 0.38
48 159 169 0 0.4
49 144 173 0 0.45
51 139 179 0 0.5
53 149 179 0 0.7
54 164 180 0 0.75
55 176 178 0 0.8
56 176 178 0 0.85
57 176 178 0 0.9
60 136 163 0 1.1
61 99 158 0 1.2
62 83 149 0 1.3
62 17 119 0 1.4
66 68 138 0 2
67 163 167 0 4
